reporting_unit_code,name,private,latitude,longitude,lhn_name,phn_name,health_service_name,domain,tier,resolution_method,mx_ok
H5285,Vision Day Surgery Rivercity,True,-27.473726,152.995579,,,,visioneyeinstitute.com.au,private,operator_kw:vision day surgery,True
H5287,Brisbane Day Surgery,True,-27.4613,153.024547,,,,,private,,False
H5292,St Vincent's Private Hospital [Brisbane],True,-27.473334,153.03542,,,,svha.org.au,tertiary,operator_kw:st vincent's private,True
H5295,Sunshine Coast University Private Hospital,True,-26.74422,153.114563,,,,,private,,False
H5298,Mackay Private Hospital,True,-21.113723,149.166763,,,,,private,,False
H5301,Nambour Day Surgery,True,-26.626321,152.96409,,,,,private,,False
H5310,Friendly Society Private Hospital,True,-24.870831,152.3429,,,,,private,,False
H5315,Buderim Gastroenterology Centre,True,-26.671731,153.084944,,,,,private,,False
H5323,Logan Endoscopy Services,True,-27.6591124,153.0387945,,,,,private,,False
H5333,Sunshine Coast Day Surgery,True,-26.655373,153.096157,,,,,private,,False
H5336,Gold Coast Private Hospital,True,-27.962084,153.385112,,,,,private,,False
H5343,The Southport Private Hospital,True,-27.973078,153.407852,,,,,private,,False
H5344,Westside Private Hospital,True,-27.491448,152.981745,,,,,private,,False
H5357,Eden Private Hospital,True,-26.420078,152.908844,,,,,private,,False
H5358,Robina Private Hospital,True,-28.071932,153.375778,,,,,private,,False
H5360,Cairns Haematology and Oncology Clinic,True,-16.91609,145.769684,,,,,private,,False
H5370,Belmont Private Hospital,True,-27.500755,153.098953,,,,,private,,False
H5374,Brisbane Day Hospital,True,-27.51023,153.0526,,,,,private,,False
H5391,Hummingbird House,True,-27.38312,153.027527,,,,,private,,False
H5393,Icon Cancer Centre Chermside,True,-27.38133,153.029739,,,,,private,,False
H5396,Icon Cancer Centre North Lakes,True,-27.24166,153.02184,,,,,private,,False
H5399,Icon Cancer Centre South Brisbane,True,-27.484,153.02812,,,,,private,,False
H5400,Icon Cancer Centre Southport,True,-27.97216,153.41107,,,,,private,,False
H5401,Icon Cancer Centre Townsville,True,-19.2765,146.79909,,,,,private,,False
H5402,Icon Cancer Centre Wesley,True,-27.47667,152.99734,,,,,private,,False
H5410,Mater Private Hospital Springfield,True,-27.686211,152.908676,,,,,private,,False
H5412,Miami Private Hospital,True,-28.063068,153.436813,,,,,private,,False
H5414,Moreton Day Hospital,True,-27.24131,153.020294,,,,,private,,False
H5418,Noosa Surgical and Endoscopy Centre,True,-26.40005,153.06491,,,,,private,,False
H5423,Northside Endoscopy Service,True,-27.082979,152.950165,,,,,private,,False
H5439,Spring Hill Specialist Day Hospital,True,-27.461082,153.021851,,,,,private,,False
H5443,Tasman Health Care Day Infusion Unit,True,-27.970409,153.407806,,,,,private,,False
H5447,The Wesley Centre for Hyperbaric Medicine,True,-27.477161,152.997803,,,,,private,,False
H5449,Vision Centre Day Surgery,True,-27.96982,153.409225,,,,,private,,False
H5460,Chermside Dialysis Clinic,True,-27.390966,153.031784,,,,,private,,False
H5465,Eastern Endoscopy Centre,True,-27.494314,153.213242,,,,,private,,False
H5487,Icon Cancer Centre Mackay,True,-21.12852,149.17295,,,,,private,,False
H5489,South Coast Digestive Diseases Centre,True,-28.01032,153.4034,,,,,private,,False
H5493,Clifton Co-Op Hospital Ltd,True,-27.931108,151.91066,,,,,private,,False
H5497,Montserrat Western Haematology and Oncology Clinic,True,-27.49273,152.98146,,,,,private,,False
H5505,Townsville Private Clinic,True,-19.25832,146.8142,,,,,private,,False
H5506,Toowoomba Hospice,True,-27.56745,151.93395,,,,,private,,False
H5507,Currumbin Clinic,True,-28.1336,153.48643,,,,,private,,False
H5510,Ramsay Clinic Cairns,True,-16.910395159982997,145.762216098272,,,,,private,,False
